"filename", "language", "Properties", "JavaScript", "PHP", "YAML", "Markdown", "JSON", "HTML (Twig)", "SCSS", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Expace_Development\Mes_projets\expace-dev\.env", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 41
"d:\Expace_Development\Mes_projets\expace-dev\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Expace_Development\Mes_projets\expace-dev\assets\app.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 24
"d:\Expace_Development\Mes_projets\expace-dev\assets\bootstrap.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 12
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\animate.css\animate.compat.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 7
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\animate.css\animate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 3693, 0, 0, 26, 354, 4073
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\animate.css\animate.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 7
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1388, 0, 0, 0, 3, 1391
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 0, 0, 0, 1372, 0, 0, 0, 0, 0, 0, 0, 1372
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\bootstrap-icons\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5522, 0, 0, 6, 5528
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\boxicons\css\animations.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 32, 386
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\boxicons\css\boxicons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 5046, 0, 0, 0, 52, 5098
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\boxicons\css\boxicons.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\boxicons\css\transformations.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1551, 0, 0, 1551
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\glightbox\css\glightbox.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 822, 0, 0, 8, 113, 943
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\glightbox\css\glightbox.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\glightbox\js\glightbox.js", "JavaScript", 0, 3097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 597, 3694
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\glightbox\js\glightbox.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\icomoon\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 98
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\icomoon\icomoon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 4, 92, 388
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\isotope-layout\isotope.pkgd.js", "JavaScript", 0, 2198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830, 536, 3564
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\isotope-layout\isotope.pkgd.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\purecounter\purecounter.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\swiper\swiper-bundle.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 1, 13
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\swiper\swiper-bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"d:\Expace_Development\Mes_projets\expace-dev\assets\components\waypoints\noframework.waypoints.js", "JavaScript", 0, 583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 104, 758
"d:\Expace_Development\Mes_projets\expace-dev\assets\controllers.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Expace_Development\Mes_projets\expace-dev\assets\controllers\hello_controller.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 17
